IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_217,Maximum speed limits,text,AFR,Africa,Country,BFA,Burkina Faso,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,BDI,Burundi,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,CPV,Cabo Verde,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,CAN,Canada,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,CHN,China,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,COK,Cook Islands,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,"Speed limit applicable on any road, decreased to 30 km/h in reduced speed zones",EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,CRI,Costa Rica,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,HRV,Croatia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased up to 80 km/h,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,CUB,Cuba,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,CZE,Czechia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased up to 80 km/h,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,DNK,Denmark,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AMR,Americas,Country,SLV,El Salvador,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,EST,Estonia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased up to 90 km/h on certain conditions,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,WPR,Western Pacific,Country,FJI,Fiji,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,FIN,Finland,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,FRA,France,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,DEU,Germany,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,GHA,Ghana,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,GRC,Greece,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,HUN,Hungary,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,ISL,Iceland,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,IRL,Ireland,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,ISR,Israel,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,ITA,Italy,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,KEN,Kenya,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,LVA,Latvia,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,LSO,Lesotho,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,LTU,Lithuania,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be increased or decreased to an unspecified speed under certain circumstances,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,EUR,Europe,Country,LUX,Luxembourg,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,,EN,2020-06-04T18:30:00.000Z
RS_217,Maximum speed limits,text,AFR,Africa,Country,MDG,Madagascar,Year,2017,true,Residence Area Type,Urban,RESIDENCEAREATYPE_URB,,,,,,,,,,,,,,,,50,,Can be modified up to 80 km/h,EN,2020-06-04T18:30:00.000Z
