IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2021,true,,,,,,,,,,,,,19.6,,,,,,19.6,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EUR,Europe,Country,SWE,Sweden,Year,2021,true,,,,,,,,,,,,,2.1,,,,,,2.1,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EUR,Europe,Country,DNK,Denmark,Year,2021,true,,,,,,,,,,,,,2.3,,,,,,2.3,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EUR,Europe,Country,ISL,Iceland,Year,2021,true,,,,,,,,,,,,,2.4,,,,,,2.4,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2021,true,,,,,,,,,,,,,2.4,,,,,,2.4,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2021,true,,,,,,,,,,,,,2.4,,,,,,2.4,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EUR,Europe,Country,AND,Andorra,Year,2021,true,,,,,,,,,,,,,2.5,,,,,,2.5,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2021,true,,,,,,,,,,,,,2.7,,,,,,2.7,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EUR,Europe,Country,IRL,Ireland,Year,2021,true,,,,,,,,,,,,,2.8,,,,,,2.8,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,true,,,,,,,,,,,,,20.1,,,,,,20.1,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,AFR,Africa,Country,MWI,Malawi,Year,2021,true,,,,,,,,,,,,,20.2,,,,,,20.2,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,AFR,Africa,Country,MLI,Mali,Year,2021,true,,,,,,,,,,,,,20.2,,,,,,20.2,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2021,true,,,,,,,,,,,,,20.2,,,,,,20.2,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2021,true,,,,,,,,,,,,,20.6,,,,,,20.6,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2021,true,,,,,,,,,,,,,20.6,,,,,,20.6,,,EN,2024-04-14T18:30:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),numeric,AFR,Africa,Country,SEN,Senegal,Year,2021,true,,,,,,,,,,,,,20.8,,,,,,20.8,,,EN,2024-04-14T18:30:00.000Z
